,state,type,clust
MDART,MD,ART,f
MDOTH,MD,OTH,j
MDFIN,MD,FIN,b
MDWHO,MD,WHO,o
MDPRO,MD,PRO,k
MDGOV,MD,GOV,k
MDCON,MD,CON,d
MAINF,MA,INF,e
MAAGR,MA,AGR,u
MARET,MA,RET,a
MATRA,MA,TRA,t
MANDU,MA,NDU,c
MAHLT,MA,HLT,e
MADUR,MA,DUR,k
MAACC,MA,ACC,f
MAUTI,MA,UTI,m
MAMNG,MA,MNG,f
MAADM,MA,ADM,h
MAMIN,MA,MIN,b
MARER,MA,RER,i
MAEDC,MA,EDC,k
MAART,MA,ART,f
MAOTH,MA,OTH,j
MAFIN,MA,FIN,n
MAWHO,MA,WHO,t
MAPRO,MA,PRO,e
MAGOV,MA,GOV,p
MACON,MA,CON,v
MIINF,MI,INF,h
MIAGR,MI,AGR,y
MIRET,MI,RET,a
MITRA,MI,TRA,v
MINDU,MI,NDU,b
MIHLT,MI,HLT,e
MIDUR,MI,DUR,w
MIACC,MI,ACC,w
MIUTI,MI,UTI,g
MIMNG,MI,MNG,a
MIADM,MI,ADM,w
MIMIN,MI,MIN,g
MIRER,MI,RER,f
MIEDC,MI,EDC,l
MIART,MI,ART,d
MIOTH,MI,OTH,j
MIFIN,MI,FIN,b
MIWHO,MI,WHO,t
MIPRO,MI,PRO,f
MIGOV,MI,GOV,s
MICON,MI,CON,v
MNINF,MN,INF,e
MNAGR,MN,AGR,y
MNRET,MN,RET,t
MNTRA,MN,TRA,h
MNNDU,MN,NDU,b
MNHLT,MN,HLT,e
MNDUR,MN,DUR,i
MNACC,MN,ACC,a
MNUTI,MN,UTI,g
MNMNG,MN,MNG,m
MNADM,MN,ADM,h
MNMIN,MN,MIN,g
MNRER,MN,RER,i
MNEDC,MN,EDC,l
MNART,MN,ART,h
MNOTH,MN,OTH,j
MNFIN,MN,FIN,n
MNWHO,MN,WHO,f
MNPRO,MN,PRO,h
MNGOV,MN,GOV,r
MNCON,MN,CON,j
MSINF,MS,INF,h
MSAGR,MS,AGR,b
MSRET,MS,RET,a
MSTRA,MS,TRA,t
MSNDU,MS,NDU,d
MSHLT,MS,HLT,e
MSDUR,MS,DUR,c
MSACC,MS,ACC,d
MSUTI,MS,UTI,g
MSMNG,MS,MNG,h
MSADM,MS,ADM,i
MSMIN,MS,MIN,q
MSRER,MS,RER,p
MSEDC,MS,EDC,l
MSART,MS,ART,s
MSOTH,MS,OTH,d
MSFIN,MS,FIN,q
MSWHO,MS,WHO,t
MSPRO,MS,PRO,p
MSGOV,MS,GOV,u
MSCON,MS,CON,s
MOINF,MO,INF,p
MOAGR,MO,AGR,y
MORET,MO,RET,a
MOTRA,MO,TRA,j
MONDU,MO,NDU,d
MOHLT,MO,HLT,e
MODUR,MO,DUR,w
MOACC,MO,ACC,v
MOUTI,MO,UTI,g
MOMNG,MO,MNG,b
MOADM,MO,ADM,i
MOMIN,MO,MIN,d
MORER,MO,RER,k
MOEDC,MO,EDC,l
MOART,MO,ART,q
MOOTH,MO,OTH,d
MOFIN,MO,FIN,x
MOWHO,MO,WHO,t
MOPRO,MO,PRO,h
MOGOV,MO,GOV,u
MOCON,MO,CON,d
MTINF,MT,INF,e
MTAGR,MT,AGR,h
MTRET,MT,RET,p
MTTRA,MT,TRA,q
MTNDU,MT,NDU,c
MTHLT,MT,HLT,e
MTDUR,MT,DUR,f
MTACC,MT,ACC,f
MTUTI,MT,UTI,g
MTMNG,MT,MNG,i
MTADM,MT,ADM,k
MTMIN,MT,MIN,q
MTRER,MT,RER,i
MTEDC,MT,EDC,k
MTART,MT,ART,m
MTOTH,MT,OTH,j
MTFIN,MT,FIN,q
MTWHO,MT,WHO,f
MTPRO,MT,PRO,e
MTGOV,MT,GOV,p
MTCON,MT,CON,j
NEINF,NE,INF,h
NEAGR,NE,AGR,y
NERET,NE,RET,t
NETRA,NE,TRA,f
NENDU,NE,NDU,l
NEHLT,NE,HLT,e
NEDUR,NE,DUR,q
NEACC,NE,ACC,f
NEUTI,NE,UTI,e
NEMNG,NE,MNG,f
NEADM,NE,ADM,f
NEMIN,NE,MIN,c
NERER,NE,RER,i
NEEDC,NE,EDC,x
NEART,NE,ART,f
NEOTH,NE,OTH,j
NEFIN,NE,FIN,n
NEWHO,NE,WHO,m
NEPRO,NE,PRO,k
NEGOV,NE,GOV,g
NECON,NE,CON,s
NVINF,NV,INF,h
NVAGR,NV,AGR,y
NVRET,NV,RET,a
NVTRA,NV,TRA,h
NVNDU,NV,NDU,o
NVHLT,NV,HLT,e
NVDUR,NV,DUR,m
NVACC,NV,ACC,j
NVUTI,NV,UTI,q
NVMNG,NV,MNG,t
NVADM,NV,ADM,t
NVMIN,NV,MIN,x
NVRER,NV,RER,o
NVEDC,NV,EDC,k
NVART,NV,ART,w
NVOTH,NV,OTH,j
NVFIN,NV,FIN,v
NVWHO,NV,WHO,o
NVPRO,NV,PRO,o
NVGOV,NV,GOV,p
NVCON,NV,CON,d
NHINF,NH,INF,h
NHAGR,NH,AGR,f
NHRET,NH,RET,s
NHTRA,NH,TRA,a
NHNDU,NH,NDU,o
NHHLT,NH,HLT,e
NHDUR,NH,DUR,h
NHACC,NH,ACC,w
NHUTI,NH,UTI,l
NHMNG,NH,MNG,b
NHADM,NH,ADM,e
NHMIN,NH,MIN,d
NHRER,NH,RER,i
NHEDC,NH,EDC,p
NHART,NH,ART,f
NHOTH,NH,OTH,d
NHFIN,NH,FIN,f
NHWHO,NH,WHO,t
NHPRO,NH,PRO,h
NHGOV,NH,GOV,s
NHCON,NH,CON,j
NJINF,NJ,INF,h
NJAGR,NJ,AGR,b
NJRET,NJ,RET,a
NJTRA,NJ,TRA,p
NJNDU,NJ,NDU,d
NJHLT,NJ,HLT,e
NJDUR,NJ,DUR,t
NJACC,NJ,ACC,j
NJUTI,NJ,UTI,i
NJMNG,NJ,MNG,f
NJADM,NJ,ADM,f
NJMIN,NJ,MIN,b
NJRER,NJ,RER,k
NJEDC,NJ,EDC,k
NJART,NJ,ART,m
NJOTH,NJ,OTH,d
NJFIN,NJ,FIN,q
NJWHO,NJ,WHO,t
NJPRO,NJ,PRO,e
NJGOV,NJ,GOV,s
NJCON,NJ,CON,j
NMINF,NM,INF,p
NMAGR,NM,AGR,b
NMRET,NM,RET,o
NMTRA,NM,TRA,c
NMNDU,NM,NDU,f
NMHLT,NM,HLT,e
NMDUR,NM,DUR,d
NMACC,NM,ACC,r
NMUTI,NM,UTI,g
NMMNG,NM,MNG,b
NMADM,NM,ADM,p
NMMIN,NM,MIN,f
NMRER,NM,RER,k
NMEDC,NM,EDC,x
NMART,NM,ART,q
NMOTH,NM,OTH,d
NMFIN,NM,FIN,n
NMWHO,NM,WHO,j
NMPRO,NM,PRO,p
NMGOV,NM,GOV,s
NMCON,NM,CON,d
NYINF,NY,INF,e
NYAGR,NY,AGR,y
NYRET,NY,RET,t
NYTRA,NY,TRA,h
NYNDU,NY,NDU,r
NYHLT,NY,HLT,e
NYDUR,NY,DUR,i
NYACC,NY,ACC,f
NYUTI,NY,UTI,g
NYMNG,NY,MNG,f
NYADM,NY,ADM,h
NYMIN,NY,MIN,r
NYRER,NY,RER,i
NYEDC,NY,EDC,e
NYART,NY,ART,k
NYOTH,NY,OTH,j
NYFIN,NY,FIN,n
NYWHO,NY,WHO,w
NYPRO,NY,PRO,h
NYGOV,NY,GOV,q
NYCON,NY,CON,r
NCINF,NC,INF,h
NCAGR,NC,AGR,b
NCRET,NC,RET,a
NCTRA,NC,TRA,t
NCNDU,NC,NDU,s
NCHLT,NC,HLT,e
NCDUR,NC,DUR,m
NCACC,NC,ACC,f
NCUTI,NC,UTI,l
NCMNG,NC,MNG,f
NCADM,NC,ADM,i
NCMIN,NC,MIN,d
NCRER,NC,RER,i
NCEDC,NC,EDC,p
NCART,NC,ART,i
NCOTH,NC,OTH,j
NCFIN,NC,FIN,y
NCWHO,NC,WHO,t
NCPRO,NC,PRO,e
NCGOV,NC,GOV,p
NCCON,NC,CON,j
NDINF,ND,INF,e
NDAGR,ND,AGR,p
NDRET,ND,RET,i
NDTRA,ND,TRA,i
NDNDU,ND,NDU,m
NDHLT,ND,HLT,e
NDDUR,ND,DUR,w
NDACC,ND,ACC,i
NDUTI,ND,UTI,i
NDMNG,ND,MNG,f
NDADM,ND,ADM,i
NDMIN,ND,MIN,i
NDRER,ND,RER,i
NDEDC,ND,EDC,k
NDART,ND,ART,g
NDOTH,ND,OTH,f
NDFIN,ND,FIN,i
NDWHO,ND,WHO,i
NDPRO,ND,PRO,i
NDGOV,ND,GOV,g
NDCON,ND,CON,i
OHINF,OH,INF,g
OHAGR,OH,AGR,y
OHRET,OH,RET,a
OHTRA,OH,TRA,o
OHNDU,OH,NDU,b
OHHLT,OH,HLT,e
OHDUR,OH,DUR,j
OHACC,OH,ACC,w
OHUTI,OH,UTI,g
OHMNG,OH,MNG,f
OHADM,OH,ADM,i
OHMIN,OH,MIN,h
OHRER,OH,RER,i
OHEDC,OH,EDC,x
OHART,OH,ART,f
OHOTH,OH,OTH,j
OHFIN,OH,FIN,n
OHWHO,OH,WHO,t
OHPRO,OH,PRO,e
OHGOV,OH,GOV,s
OHCON,OH,CON,v
OKINF,OK,INF,t
OKAGR,OK,AGR,f
OKRET,OK,RET,f
OKTRA,OK,TRA,f
OKNDU,OK,NDU,r
OKHLT,OK,HLT,e
OKDUR,OK,DUR,c
OKACC,OK,ACC,r
OKUTI,OK,UTI,g
OKMNG,OK,MNG,i
OKADM,OK,ADM,i
OKMIN,OK,MIN,f
OKRER,OK,RER,i
OKEDC,OK,EDC,l
OKART,OK,ART,f
OKOTH,OK,OTH,d
OKFIN,OK,FIN,n
OKWHO,OK,WHO,i
OKPRO,OK,PRO,i
OKGOV,OK,GOV,p
OKCON,OK,CON,q
ORINF,OR,INF,h
ORAGR,OR,AGR,b
ORRET,OR,RET,a
ORTRA,OR,TRA,a
ORNDU,OR,NDU,b
ORHLT,OR,HLT,e
ORDUR,OR,DUR,e
ORACC,OR,ACC,f
ORUTI,OR,UTI,g
ORMNG,OR,MNG,f
ORADM,OR,ADM,t
ORMIN,OR,MIN,d
ORRER,OR,RER,h
OREDC,OR,EDC,k
ORART,OR,ART,f
OROTH,OR,OTH,j
ORFIN,OR,FIN,n
ORWHO,OR,WHO,j
ORPRO,OR,PRO,e
ORGOV,OR,GOV,p
ORCON,OR,CON,j
PAINF,PA,INF,e
PAAGR,PA,AGR,b
PARET,PA,RET,v
