"","eu_clusted@cluster","eu_clusted@cluster"
"UTHLT",5,5
"UTDUR",16,16
"UTACC",20,20
"UTUTI",9,9
"UTMNG",6,6
"UTADM",6,6
"UTMIN",17,17
"UTRER",5,5
"UTEDC",5,5
"UTART",6,6
"UTOTH",20,20
"UTFIN",14,14
"UTWHO",20,20
"UTPRO",5,5
"UTGOV",16,16
"UTCON",15,15
"VTINF",16,16
"VTAGR",25,25
"VTRET",1,1
"VTTRA",19,19
"VTNDU",15,15
"VTHLT",5,5
"VTDUR",24,24
"VTACC",23,23
"VTUTI",17,17
"VTMNG",9,9
"VTADM",9,9
"VTMIN",2,2
"VTRER",11,11
"VTEDC",8,8
"VTART",9,9
"VTOTH",10,10
"VTFIN",14,14
"VTWHO",23,23
"VTPRO",5,5
"VTGOV",16,16
"VTCON",4,4
"VAINF",18,18
"VAAGR",2,2
"VARET",1,1
"VATRA",3,3
"VANDU",24,24
"VAHLT",5,5
"VADUR",3,3
"VAACC",22,22
"VAUTI",7,7
"VAMNG",23,23
"VAADM",9,9
"VAMIN",19,19
"VARER",11,11
"VAEDC",12,12
"VAART",16,16
"VAOTH",4,4
"VAFIN",14,14
"VAWHO",20,20
"VAPRO",11,11
"VAGOV",5,5
"VACON",10,10
"WAINF",8,8
"WAAGR",6,6
"WARET",20,20
"WATRA",8,8
"WANDU",18,18
"WAHLT",5,5
"WADUR",9,9
"WAACC",20,20
"WAUTI",7,7
"WAMNG",6,6
"WAADM",5,5
"WAMIN",10,10
"WARER",5,5
"WAEDC",11,11
"WAART",13,13
"WAOTH",15,15
"WAFIN",14,14
"WAWHO",20,20
"WAPRO",5,5
"WAGOV",5,5
"WACON",15,15
"WVINF",8,8
"WVAGR",2,2
"WVRET",22,22
"WVTRA",19,19
"WVNDU",21,21
"WVHLT",5,5
"WVDUR",23,23
"WVACC",17,17
"WVUTI",7,7
"WVMNG",9,9
"WVADM",9,9
"WVMIN",6,6
"WVRER",11,11
"WVEDC",12,12
"WVART",24,24
"WVOTH",4,4
"WVFIN",17,17
"WVWHO",3,3
"WVPRO",13,13
"WVGOV",24,24
"WVCON",17,17
"WIINF",5,5
"WIAGR",6,6
"WIRET",1,1
"WITRA",22,22
"WINDU",2,2
"WIHLT",5,5
"WIDUR",23,23
"WIACC",23,23
"WIUTI",7,7
"WIMNG",6,6
"WIADM",9,9
"WIMIN",6,6
"WIRER",11,11
"WIEDC",11,11
"WIART",7,7
"WIOTH",4,4
"WIFIN",14,14
"WIWHO",20,20
"WIPRO",8,8
"WIGOV",24,24
"WICON",10,10
"WYINF",5,5
"WYAGR",7,7
"WYRET",13,13
"WYTRA",13,13
"WYNDU",18,18
"WYHLT",11,11
"WYDUR",17,17
"WYACC",3,3
"WYUTI",7,7
"WYMNG",17,17
"WYADM",11,11
"WYMIN",21,21
"WYRER",9,9
"WYEDC",12,12
"WYART",9,9
"WYOTH",3,3
"WYFIN",17,17
"WYWHO",9,9
"WYPRO",11,11
"WYGOV",11,11
"WYCON",21,21
