,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
2008-04-01,187747.7,50101.799999999996,281268.60000000003,107500.6,2156092.3000000003,270237.80000000005,266388.4,58944.2,814750.7,450382.0,72746.1,60487.50000000001,706241.8999999999,304774.50000000006,151715.7,140700.7,175770.80000000002,238232.99999999994,54559.299999999996,318547.39999999997,418454.70000000007,423877.5,287407.69999999995,106283.60000000002,273483.6,40615.399999999994,95352.60000000002,139779.0,65642.4,540737.2000000001,85868.8,1177029.9,452547.50000000006,34377.40000000001,547447.8,163130.0,176080.50000000003,633698.5,50470.6,177423.39999999997,40180.50000000001,274803.3,1282786.5999999999,124942.9,27614.4,427727.19999999995,384765.2,67670.09999999999,267389.39999999997,42752.2
2008-07-01,186136.0,51526.399999999994,276974.9,106562.80000000002,2147797.4,269662.1,259901.0,58452.899999999994,802113.7,445959.20000000007,71821.8,60182.7,702868.3999999999,298719.29999999993,148196.19999999995,138697.7,171856.9,237002.1,54205.66666666667,316750.8,413095.50000000006,413948.6,289722.9,105052.69999999998,268664.7,40235.0,93970.69999999998,138650.5,65183.200000000004,535581.1,86247.2,1178601.0,449335.9,34966.600000000006,539237.5,162899.1,175538.4,626767.1000000001,50004.5,175706.3,39716.4,274207.9,1276181.4,124032.59999999999,27578.499999999996,428199.00000000006,386859.5,68161.5,265149.2,43089.6
2008-10-01,180519.19999999998,55358.399999999994,266722.39999999997,104660.70000000001,2066912.5,265144.6,247084.69999999998,56886.2,774554.6,430476.3,70287.2,58785.29999999999,682776.0000000001,288061.49999999994,144151.1,133727.4,167432.3,236089.30000000002,52860.87500000001,313412.10000000003,405279.80000000005,402052.0,279945.2,102551.0,273382.29999999993,39514.299999999996,90159.4,134300.4,63594.30000000001,520953.2,88511.4,1150972.8,437778.9,34826.600000000006,515855.19999999995,166552.50000000003,170639.69999999998,612431.0,49775.1,169922.1,38219.799999999996,266396.5,1285152.8,120774.9,27187.1,422746.60000000003,376031.7,69301.3,259607.9,45672.9
2009-01-01,178168.80000000002,57735.7,258552.1,104305.2,2064861.8999999997,265256.7,250318.40000000002,59702.399999999994,763729.8000000002,426280.5,69442.09999999999,57692.4,678161.7000000001,275601.9,141892.5,132673.90000000002,165432.6,236554.59999999998,52398.825,310987.8,406038.99999999994,376932.60000000003,274376.1,100705.99999999999,265038.2,39427.799999999996,93430.3,129812.9,63612.09999999999,511015.99999999994,88358.30000000002,1171715.1000000003,419339.89999999997,35394.2,515066.6,162268.2,169272.20000000004,602079.9,49170.8,167267.4,39700.3,263815.5,1276410.0999999999,121499.2,26840.6,420541.0,371146.4,69045.90000000001,253442.3,45176.0
2009-04-01,178180.30000000002,57172.6,254128.39999999997,101084.90000000001,2030172.8000000003,260885.60000000003,247976.30000000005,60505.3,755743.7000000001,426901.39999999997,69321.40000000001,56617.799999999996,681376.4,275400.6,143800.90000000002,132404.59999999998,163733.60000000003,235754.79999999996,52928.90000000001,313794.30000000005,407029.19999999995,379277.5999999999,274221.4,100041.0,264755.1,38995.1,92879.70000000001,127005.40000000001,63640.799999999996,507931.6,87316.30000000002,1226640.5000000002,424777.1,34987.899999999994,507849.6999999999,159437.1,166867.8,601351.4,49834.59999999999,166051.2,39828.1,262439.3,1265795.2,120650.40000000001,26796.300000000003,424699.50000000006,372702.39999999997,67827.7,255744.00000000003,41727.69999999999
2009-07-01,178557.59999999998,55506.80000000001,252039.80000000002,102316.20000000001,2019923.3999999997,262836.0,247353.4,60466.50000000001,752554.7,426673.60000000003,68933.9,57159.200000000004,684244.4,278011.80000000005,146996.1,133048.5,164803.9,238011.40000000002,53402.328571428574,316337.20000000007,409706.1,380549.3,275282.0,99251.09999999999,266519.2,39521.99999999999,94163.29999999999,125714.2,65357.600000000006,511823.39999999997,87557.00000000001,1242214.9000000001,431017.7,35701.499999999985,508195.8,160465.8,166740.8,603985.7,50399.799999999996,166559.09999999998,40276.799999999996,261891.4,1272887.8,120444.90000000002,27114.700000000004,426841.69999999995,372996.4,66877.6,258359.59999999998,40079.50000000001
2009-10-01,179027.00000000003,54716.09999999999,255379.40000000002,103605.00000000001,2025464.4000000004,263397.50000000006,248362.39999999997,58989.8,761225.8,428357.49999999994,69333.70000000001,56897.90000000001,692447.0000000001,286704.0,150508.09999999998,135042.2,168348.10000000003,242131.19999999998,53893.38,320193.6,413132.60000000003,387558.6,279745.69999999995,98958.40000000001,267308.3,39277.1,96099.20000000001,126060.1,65485.799999999996,515865.60000000003,87492.59999999999,1257303.5,437290.1999999999,35465.29999999999,511802.3,156959.3,165987.8,618617.6000000001,50854.40000000001,168549.7,39860.700000000004,264862.49999999994,1283137.6,120528.99999999997,27422.3,431574.8,377258.9,67251.3,261603.1,38568.700000000004
2010-01-01,178748.7,53357.99999999999,252509.29999999996,102437.50000000001,2044852.6,261735.09999999998,246716.4,60037.49999999999,756735.7,428417.8,70053.4,57549.39999999999,684665.7999999999,290146.19999999995,147221.59999999998,131331.69999999998,167228.5,247891.60000000003,53549.99999999999,322893.0,416885.2,387248.0000000001,278394.99999999994,99458.00000000001,269292.5,40367.100000000006,95240.30000000002,126329.3,65157.40000000001,518263.3,86425.0,1271334.9,429524.80000000005,36407.9,512634.2,156420.5,169562.40000000002,611949.2000000001,50730.7,168126.39999999997,39046.3,265306.7,1296545.1,122009.4,27570.1,431564.6,376233.6,66715.1,260776.90000000002,39180.2
2010-04-01,181282.7,54582.30000000002,256486.9,105743.4,2050141.5,262632.0,248578.0,58775.2,764590.4999999999,430427.8,70531.4,57622.0,692114.8,294727.8999999999,149460.6,133916.3,171658.2,250375.6,53866.9,326004.5,422643.0,399923.20000000007,282360.69999999995,100278.00000000001,270016.1,40440.9,97795.5,128412.70000000001,66850.3,516301.4000000001,86423.2,1288955.7000000002,431581.6999999999,37678.600000000006,518293.3999999999,159579.1,168020.09999999995,620184.4,51248.59999999999,169984.50000000003,39433.9,265927.4,1300163.5999999999,121812.49999999999,28057.300000000003,437105.8999999999,381837.50000000006,67976.9,263402.9,39743.0
2010-07-01,184751.69999999998,54903.299999999996,259107.99999999997,107818.50000000001,2054609.4000000001,265349.1,248700.0,59316.20000000001,770818.2999999999,434438.39999999997,71575.0,58047.00000000001,700329.9000000001,298020.0,150153.6,136508.1,174618.79999999996,251098.3,54155.69999999999,327919.69999999995,429062.70000000007,409071.59999999986,286336.99999999994,100460.79999999999,270496.60000000003,40632.0,98691.7,130021.69999999998,66944.2,518202.6,86782.7,1267401.4,433196.10000000003,38362.899999999994,525283.2999999999,160718.8,169289.39999999997,628231.8,51621.10000000001,170996.10000000003,40599.799999999996,266793.3,1310205.5999999999,123627.70000000001,28432.600000000002,439517.80000000005,383700.39999999997,69809.50000000001,266403.89999999997,40125.299999999996
