0,BE,BG,CZ,DK,DE,EE,IE,EL,ES,FR,HR,IT,CY,LV,LT,LU,HU,MT,NL,AT,PL,PT,RO,SI,SK,FI,SE,UK
2004-10-01,68988.5,4761.35,23922.53333333333,44959.15,520225.0,2247.7000000000003,35353.50000000001,44578.55,203479.0,391542.0,6971.200000000001,346419.3666666667,3200.566666666666,2767.8333333333335,4510.400000000001,6527.866666666667,19023.899999999998,1078.35,120537.55,55186.899999999994,52839.30000000001,34235.95,16309.65,6223.950000000001,8314.300000000001,36611.666666666664,70735.59999999999,432619.80000000005
2005-01-01,67847.5,4504.299999999999,22992.733333333337,43409.05,507603.5,2298.1,36481.15,42660.299999999996,199190.5,393367.3333333333,7090.549999999999,319889.36666666664,3123.3,2638.4333333333334,4175.733333333334,6282.166666666666,18459.88333333334,1043.9499999999998,120424.55,54363.25,52145.89999999999,33624.350000000006,14455.35,6036.6,8229.299999999997,34683.666666666664,67982.3,440134.3
2005-04-01,69806.0,4877.6,24327.63333333334,45492.899999999994,518569.5,2455.4500000000003,37341.850000000006,44602.850000000006,207998.0,396232.0,7684.000000000001,335763.30000000005,3235.133333333333,2932.9333333333334,4630.0,6554.666666666667,19259.983333333334,1120.1,123109.24999999999,56299.74999999999,51948.9,34465.7,16672.350000000002,6507.75,8563.449999999999,35864.333333333336,70150.34999999999,456875.7
2005-07-01,68805.0,5378.550000000001,25024.1,45374.8,527123.0,2555.0499999999997,36800.3,45752.2,208717.0,389385.6666666667,7998.299999999999,329480.5,3347.1,3199.066666666666,4947.466666666666,6661.2333333333345,19926.133333333335,1156.65,121619.59999999999,56788.8,53881.149999999994,34207.350000000006,19283.6,6534.5,8980.45,35778.33333333332,67476.1,458340.9
2005-10-01,72041.0,5499.3,26712.233333333334,46570.25,527064.5,2663.45,38365.799999999996,45935.05,218341.5,405920.3333333334,7764.549999999998,358821.73333333334,3435.5333333333333,3423.9666666666662,5262.533333333334,7165.2,20609.983333333337,1145.85,126112.34999999999,58328.549999999996,58464.3,35302.1,20489.95,6587.6,9150.75,37294.666666666664,70184.84999999999,474385.19999999995
2006-01-01,71042.0,4997.899999999999,25850.066666666662,46114.1,525460.5,2726.5,39776.549999999996,45819.65,214530.5,406690.33333333326,7954.699999999999,330000.39999999997,3380.0,3289.3999999999996,4762.3,7380.766666666666,19176.316666666666,1100.5,127537.59999999998,57384.19999999999,57969.0,34639.6,17984.2,6456.9,9413.4,36098.00000000001,70621.7,477532.25000000006
2006-04-01,73005.5,5400.800000000001,27826.833333333332,48610.0,535801.5,2925.6,40819.85,48147.95,225667.0,414151.3333333333,8401.75,348399.33333333326,3534.933333333333,3686.6,5226.066666666667,7508.833333333332,19467.633333333335,1166.85,130460.5,59334.399999999994,57664.5,35921.75,20486.05,6944.5,9961.35,37397.00000000001,74092.55000000002,472863.45000000007
2006-07-01,72122.5,6170.7,28672.03333333333,48183.100000000006,549422.5,3033.7500000000005,40294.8,48922.15000000001,226291.5,408208.33333333326,8788.7,341029.3666666666,3577.133333333333,3986.833333333333,5708.500000000001,7439.7,19499.116666666665,1210.7499999999998,128742.64999999998,60233.600000000006,58824.19999999999,35796.450000000004,22857.65,7122.3,10339.800000000001,37476.666666666664,73173.65,488454.25000000006
2006-10-01,75661.0,6304.799999999999,30347.600000000002,48626.24999999999,554606.0,3206.4,41159.450000000004,50224.850000000006,233603.0,426306.6666666667,8427.7,369016.60000000003,3672.5,4312.900000000001,6049.166666666668,8003.666666666667,21628.43333333333,1205.6,133891.45,62323.7,65862.2,37221.59999999999,25393.149999999998,7239.900000000001,11369.849999999999,39503.33333333333,77645.6,499269.1
2007-01-01,75380.5,6111.400000000001,29219.633333333335,48043.55,552746.5,3323.0499999999997,43412.35,48402.15000000001,231707.0,428788.00000000006,8753.6,347387.6666666667,3629.1,4420.200000000001,5639.433333333333,7994.133333333332,20468.7,1207.9499999999998,135073.94999999998,61292.60000000001,63330.899999999994,36854.75,23669.449999999997,7208.150000000001,11657.650000000001,38810.666666666664,76982.3,513272.05000000005
2007-04-01,77251.0,6568.350000000001,30485.100000000002,49021.74999999999,560311.0,3558.4500000000003,43534.950000000004,52042.2,243577.0,436407.0,9164.5,360625.43333333335,3762.9,4973.433333333333,6408.366666666667,8371.9,21957.26666666667,1249.3999999999999,138268.45,62906.9,66299.00000000001,38194.799999999996,26996.9,7732.25,12479.05,40665.333333333336,79278.15,500391.95000000007
2007-07-01,75980.0,7327.7,31507.999999999996,49494.15000000001,574350.0,3644.7,43264.49999999999,52485.95,242939.5,431402.66666666674,9688.35,354633.0666666667,3825.2999999999997,5298.6,6913.433333333334,8205.900000000001,22338.78333333333,1296.3,137467.6,63804.350000000006,67616.55000000002,37846.4,30731.550000000007,7935.549999999999,13177.500000000002,40912.66666666666,77040.55,513178.50000000006
2007-10-01,79346.0,7522.349999999999,34132.03333333333,51410.3,575581.5,3727.2500000000005,44402.450000000004,52508.30000000001,254631.5,446847.3333333334,9340.55,382880.9666666667,3965.6,5453.133333333333,7125.900000000001,8695.8,23171.833333333336,1267.55,141690.5,65774.55,77042.85,39287.299999999996,31909.050000000003,7975.549999999999,13387.550000000001,43265.333333333336,81549.2,502165.89999999997
2008-01-01,78255.0,6968.349999999999,33794.533333333326,50552.09999999999,572862.0,3601.2500000000005,42543.049999999996,51347.600000000006,248170.0,447817.3333333333,9620.6,359743.80000000005,3948.033333333333,5282.466666666666,6722.999999999999,8537.766666666668,21727.916666666664,1288.05,143325.0,65152.7,75270.40000000001,38305.9,27383.300000000003,7947.700000000001,13813.05,41333.333333333336,78435.1,479761.05
2008-04-01,80395.0,7618.450000000002,36934.03333333333,51755.2,579893.0,3819.8999999999996,42699.4,53937.05,262065.5,451457.00000000006,10155.700000000003,374648.06666666665,4109.666666666667,5608.333333333334,7596.566666666666,8624.733333333334,23531.633333333335,1361.65,145062.80000000002,65479.850000000006,81083.75,39319.80000000001,31958.749999999996,8477.5,14978.150000000001,42934.00000000001,81540.6,446731.39999999997
2008-07-01,78548.0,8317.7,38709.56666666666,52521.700000000004,582473.5,3712.0000000000005,41813.44999999999,54869.8,255900.5,442309.00000000006,10689.85,361419.93333333335,4165.333333333334,5634.1,7742.2,8531.8,24418.933333333334,1388.6000000000001,143688.19999999998,65314.79999999999,84492.2,38880.25,35880.950000000004,8518.6,15768.45,42783.333333333336,78643.75,449486.14999999997
2008-10-01,79805.0,8358.849999999999,36803.933333333334,52449.35,567631.5,3600.4000000000005,40070.8,53561.25,259509.0,450343.3333333333,10168.050000000001,376989.73333333334,4193.633333333333,5389.900000000001,7273.799999999999,8511.333333333332,22994.68333333333,1346.75,146284.15,66033.65000000001,79621.2,39510.2,35856.15,8294.6,15366.150000000001,43335.33333333332,73275.70000000001,422988.00000000006
2009-01-01,76919.5,7704.999999999999,31343.13333333333,49471.1,539582.0,3143.85,38642.3,50424.049999999996,243882.5,438438.99999999994,9259.550000000001,345176.1333333333,3999.666666666666,4384.333333333334,5983.7,8164.233333333334,18330.666666666664,1293.6000000000001,140759.4,62812.55,65626.90000000001,37821.75,24517.299999999996,7709.5,13845.900000000001,38899.66666666667,65190.00000000001,388546.15
2009-04-01,77865.0,8085.999999999999,33246.4,49075.19999999998,543196.0,3124.3999999999996,38829.649999999994,53524.65,255449.0,437016.3333333333,9788.55,353925.6,4114.866666666667,4297.633333333333,6274.866666666666,8081.666666666667,19515.166666666668,1333.6000000000001,140011.15000000002,63179.69999999999,66677.05,39045.450000000004,27554.149999999998,7981.849999999999,14417.300000000001,39484.33333333333,67909.65000000001,393657.95
2009-07-01,77185.0,8327.2,34633.9,49921.25,559560.0,3021.45,37547.45,54202.00000000001,251377.5,429256.6666666667,9888.050000000001,350773.2,4105.133333333333,4112.4,6076.0666666666675,8108.066666666667,20484.383333333335,1378.15,138222.8,64285.549999999996,71667.29999999999,38799.5,29903.449999999997,7976.4000000000015,14922.95,39225.0,68126.1,401266.55000000005
2009-10-01,80627.0,8247.55,35357.13333333333,50954.200000000004,563876.0,3021.5,37161.4,54310.299999999996,255384.0,445510.00000000006,9548.400000000001,371059.23333333334,4199.966666666666,4107.533333333333,5967.966666666667,8779.300000000001,21862.800000000003,1353.05,142116.9,66355.15,78265.15,39839.049999999996,31935.850000000002,7935.35,14846.849999999999,40739.0,71130.2,388114.25
2010-01-01,79250.0,7484.75,32848.4,50568.35,563257.0,2987.7499999999995,37894.35,50290.29999999999,240833.5,443609.6666666667,9196.75,344279.9333333333,4112.066666666667,3654.8666666666663,5801.033333333335,8504.033333333333,19822.583333333336,1391.8500000000001,140100.45,63097.299999999996,75276.40000000001,38777.399999999994,25383.700000000004,7592.349999999999,14539.3,38978.66666666667,74404.55000000002,400841.69999999995
2010-04-01,81870.5,8054.700000000002,35239.2,52411.35,572701.0,3193.15,37661.45,50975.0,250029.0,449477.99999999994,9586.550000000001,360948.20000000007,4228.1,3880.566666666667,6323.866666666667,9039.4,20616.61666666667,1454.8999999999999,144673.95,65053.00000000001,77606.95,39895.45,27348.2,8016.35,15259.850000000002,41012.666666666664,80836.59999999999,415869.44999999995
2010-07-01,81009.5,8677.15,36317.100000000006,52948.8,589113.0,3282.2499999999995,38225.45,49647.4,244219.0,444489.3333333334,10002.200000000003,357190.7,4294.7,4041.366666666667,6569.8,8970.333333333332,20685.233333333337,1504.1000000000001,142857.35,66871.75000000001,78914.85,39582.9,28828.7,7993.199999999999,15898.55,40413.0,81810.3,429093.1000000001
2010-10-01,84404.0,8947.199999999997,37257.8,53912.2,593835.0,3416.2499999999995,38400.65,49114.55,254801.5,459139.3333333333,9534.7,379676.43333333335,4364.5,4232.566666666667,6511.833333333332,9618.333333333334,22480.233333333334,1441.95,146527.80000000002,68549.1,86384.35000000002,40070.0,30250.4,7936.25,15670.65,43215.666666666664,87885.04999999999,421082.4
2011-01-01,83446.0,8588.6,35446.46666666667,52717.55,597413.0,3448.2,38140.899999999994,45068.950000000004,240343.0,459955.6666666666,9159.699999999999,355054.8,4269.333333333333,4043.366666666667,6425.966666666666,9545.333333333334,20471.916666666664,1465.5,144741.50000000003,67308.90000000001,82722.55,38412.850000000006,25934.9,7735.799999999999,15190.050000000001,41093.666666666664,89318.5,434020.3
2011-04-01,85320.5,9149.95,37464.2,53670.600000000006,600406.0,3661.85,39147.3,46475.5,248678.5,463146.6666666666,9685.699999999999,370923.4,4433.633333333333,4417.9,7089.700000000001,9634.733333333332,22291.716666666664,1482.1,147783.05,68947.1,84566.45,39064.95,28401.3,8195.75,15942.7,42731.00000000001,90638.50000000001,410606.75
2011-07-01,83932.5,9455.050000000001,37688.73333333334,53045.2,614741.0,3698.4000000000005,38790.95,46160.1,242773.0,455746.0,9912.349999999999,364685.8333333333,4377.799999999999,4603.433333333333,7419.7,9557.666666666666,21910.86666666667,1523.1000000000001,145079.2,69449.9,82269.85,38410.2,30526.850000000006,8181.100000000001,16593.75,42506.666666666664,87803.1,414806.95
2011-10-01,86946.5,8944.300000000001,37321.933333333334,54474.3,613532.5,3801.350000000001,38988.4,44300.84999999999,251875.5,469129.6666666666,9496.849999999999,380007.4666666667,4441.4,4843.833333333332,7227.366666666667,9995.366666666667,21400.96666666667,1484.65,147929.6,70771.75,84206.95,38354.55,30801.45,7973.700000000001,16255.45,44122.66666666666,89590.45000000001,433045.60000000003
2012-01-01,85475.0,8162.450000000001,35131.166666666664,53410.45,613554.5,3727.0,39580.15,41502.5,235482.5,467161.3333333334,8839.199999999999,352984.3333333334,4317.633333333332,4423.666666666667,6917.933333333334,9648.733333333334,19211.216666666667,1495.9499999999998,146308.59999999998,69480.6,82147.20000000001,36931.649999999994,26088.149999999994,7746.55,15927.249999999996,42254.66666666667,90363.2,449796.89999999997
2012-04-01,87093.5,8978.8,36334.00000000001,55504.299999999996,614292.5,3943.0500000000006,39793.95,42590.799999999996,241814.5,470236.33333333326,9262.050000000001,363794.43333333335,4368.866666666667,4832.566666666667,7460.233333333335,9828.366666666667,20398.550000000003,1571.1499999999999,149413.80000000002,70161.9,83815.7,36725.85,28487.650000000005,7987.4,16538.899999999998,43204.333333333336,93412.15000000001,458876.75000000006
