,ACC,ADM,AGR,ART,CON,DUR,EDC,FIN,GOV,HLT,INF,MIN,MNG,NDU,OTH,PRO,RER,RET,TRA,UTI,WHO
2008-04-01,447670.5,452128.49999999994,179316.24285714288,152205.3,681837.3,1029526.2000000001,184321.7,956836.7,2037030.2999999998,1096172.9,735362.4999999999,279039.6571428571,272067.29999999993,1073017.9999999998,367574.2,1104846.9000000004,1950475.2000000002,930523.4999999998,473223.10000000015,261991.3,1032531.0999999999
2008-07-01,443583.80000000005,451332.0000000002,170377.2666666667,152460.00000000003,674026.3999999997,1021660.8,189545.7,896582.3999999999,2045581.9000000004,1114791.9999999998,737791.7000000003,292223.89999999997,275227.5999999999,1019025.9,365590.89999999997,1120235.3000000005,1945749.9000000004,916864.7999999999,467030.3000000001,262139.69999999998,1020322.3999999998
2008-10-01,431295.7,442538.80000000005,184669.45000000004,154503.39999999997,638827.6,955027.7000000003,193049.49999999994,770943.0999999996,2031528.3999999994,1132475.7,702927.6000000003,370437.1249999999,272881.29999999993,952685.9999999997,362650.60000000003,1115741.7,1949953.7999999998,891652.7000000002,455580.59999999986,228563.40000000008,978262.1000000002
2009-01-01,415134.5,419893.89999999985,195264.57499999984,150587.2,586392.1,865217.1000000002,201360.19999999995,1009602.2,2024200.0999999999,1131002.7,693829.2,386455.95,245978.39999999994,943992.8999999998,351664.79999999993,1070577.9,1939194.2000000002,881607.5,430346.8999999999,224996.89999999994,910592.4999999999
2009-04-01,408496.0000000001,410668.2,192934.6666666666,149980.7,575823.6,841362.8000000003,201464.50000000006,1109898.7999999998,2030428.4000000001,1135729.6999999997,694250.7999999999,355098.7333333333,248409.70000000007,979614.8000000002,346806.10000000003,1040527.5000000001,1913337.1000000003,877723.5000000002,438527.3,230194.6,875896.8999999999
2009-07-01,407369.2,408019.0999999999,208326.68571428562,150517.9,582598.6999999998,846905.6999999996,201939.20000000004,1127346.3,2031284.0000000002,1134597.7000000002,698588.2999999996,341402.2428571429,254954.0,1000372.2999999999,342084.69999999995,1036032.4999999999,1915866.7,869410.4000000001,439046.60000000003,237632.80000000008,873571.0000000001
2009-10-01,408890.0999999999,416521.8,199660.40000000002,151177.39999999997,559888.9000000001,880017.1999999998,203722.19999999998,1106624.3000000003,2035768.2000000002,1142677.2000000007,728988.8999999999,322175.38000000006,256382.49999999994,1038232.4,340293.20000000007,1030197.8999999999,1919097.0,892206.9000000001,447908.9,250767.80000000005,914869.7
2010-01-01,414565.10000000003,432980.8,189083.39687499995,154510.5000000001,543763.7,906952.7,205967.29999999993,1102025.1,2042028.6,1132453.8999999997,727044.1,301659.71171874995,262606.8999999999,1026792.5000000001,335270.8,1047271.2,1943199.2999999996,886959.6000000002,444767.8,264694.2,908359.2
2010-04-01,422278.4000000001,438858.10000000015,197207.48846153848,157423.3,552906.0000000001,955976.0,208074.4,1081867.4,2041983.300000001,1141606.0,734852.6999999998,309880.4207692308,265996.9000000001,978910.2000000001,338262.5999999999,1059559.3,1974696.3,901151.7000000001,452881.0000000001,261341.0000000001,940413.7000000001
2010-07-01,428732.4000000001,444288.10000000015,195834.38142857145,158253.09999999998,546987.7999999999,991802.5,208696.30000000002,1050152.4999999998,2033039.2999999996,1149623.6000000003,757721.3,310352.58857142855,270055.50000000006,956649.8,340919.6999999999,1081145.1,1984414.7000000002,902969.3000000003,467041.30000000005,264333.60000000003,970418.8999999997
2010-10-01,429796.49999999994,451068.0000000001,189826.48695652175,162309.70000000004,542278.4999999999,1014759.4000000001,209649.80000000002,1063979.1,2028409.4000000004,1152581.0,756811.7999999998,317019.70652173914,277677.0,936552.8000000002,339876.79999999993,1092781.3,2011398.8000000005,904770.1,476343.39999999997,267053.19999999995,968346.3999999999
2011-01-01,434963.2999999999,451552.5,186362.7760869565,160212.49999999997,530689.1999999998,1017783.2000000003,210090.80000000002,1076557.2999999998,2030956.5999999999,1154074.8,751269.2000000001,308410.23260869563,281036.8000000001,918583.8999999998,335853.10000000003,1096394.3,1996814.2000000002,903867.4999999999,467222.2,259612.6,963351.0
2011-04-01,441345.99999999994,456024.7,178505.6885714286,162819.0,539033.9000000003,1026266.9,210648.1,1051162.0,2029886.9000000001,1164728.7000000004,757318.9999999999,311533.3557142857,282019.60000000015,923615.1000000002,335790.2000000002,1116758.6,2043255.5000000005,900226.0,471887.2,276804.2,953434.9999999999
2011-07-01,442739.29999999993,458594.4,183045.65000000002,165416.5,539836.0000000001,1030896.3999999998,208873.49999999997,1071487.9,2017703.7000000002,1169984.3,754174.5999999999,322567.4253846153,278046.99999999994,895150.0999999997,334718.1999999999,1121090.6999999997,2044389.1999999993,892536.8999999999,465557.60000000015,272212.89999999997,948229.1
