0,A,B,F,G,J,K,L,M,O,R
2008-07-01,52280.35000000001,579621.0,190199.9,570321.7333333334,143129.63333333336,149366.33333333334,332693.7666666667,303157.0166666666,525492.8166666668,100360.1
2008-10-01,46416.26666666667,556952.3333333333,186777.74999999994,547623.8,146642.7666666667,157188.88333333333,322782.31666666665,305886.06666666665,549083.7166666667,100212.53333333334
2009-01-01,37453.08333333333,510528.0166666667,163151.09999999998,511054.18333333335,135850.36666666664,155507.68333333335,308206.7833333333,279462.5333333333,524437.7833333333,96221.89999999998
2009-04-01,41530.94999999999,506111.7833333333,172926.33333333334,527944.1833333332,137806.71666666667,156895.25,308405.1666666667,282965.7833333333,534184.0000000001,97893.00000000001
2009-07-01,44681.25,509200.3666666667,171443.66666666666,536739.2833333333,136280.1333333333,159782.0833333333,309513.7,281211.5,536796.9000000001,98704.58333333334
2009-10-01,44696.69999999999,528257.35,173272.7,538099.8666666666,141233.28333333333,160003.76666666666,308348.24999999994,288253.89999999997,560238.6333333333,100200.63333333336
2010-01-01,38547.76666666666,535225.6166666667,153512.38333333336,518429.69999999995,137604.16666666666,160370.13333333333,311801.2166666667,283984.26666666666,546107.8333333333,99195.91666666667
2010-04-01,44967.700000000004,549769.0666666667,169494.59999999998,542268.6833333333,138116.00000000003,163402.26666666666,317074.13333333336,292497.11666666664,554092.0666666668,101582.38333333333
2010-07-01,50699.86666666668,549097.3666666666,169392.85000000003,553811.1000000001,138646.0,162554.34999999998,322032.3333333334,293591.1,551237.4333333333,102388.71666666666
2010-10-01,51579.88333333333,573441.65,172213.0,553803.05,144504.25,161503.68333333335,323980.61666666664,306151.23333333334,577865.3500000001,103617.98333333334
2011-01-01,44219.700000000004,576134.8833333333,157543.4166666667,542322.5333333333,143037.15,160558.0,330361.3000000001,300882.44999999995,563107.2666666666,103316.56666666665
2011-04-01,49731.633333333346,575720.8833333333,168391.06666666665,558380.8833333334,142474.96666666665,160532.95,330047.0166666667,304581.1,561077.0333333334,103019.96666666666
2011-07-01,53229.183333333334,569434.65,167310.2333333333,561220.45,142294.51666666666,159361.65,332179.74999999994,301944.7166666667,555660.2333333334,103013.86666666665
2011-10-01,51450.11666666666,580763.5666666668,173559.7166666667,558706.1833333333,148185.93333333332,162032.35000000003,334526.58333333343,314055.06666666665,582938.9833333334,105046.86666666668
2012-01-01,42975.63333333333,582868.35,156473.8666666667,548289.8333333333,146461.4166666667,162004.98333333337,338037.6666666667,308823.04999999993,568473.4333333332,103662.25000000003
2012-04-01,47745.41666666665,581395.1666666665,166883.03333333338,567392.3333333333,145441.86666666667,166758.1333333333,343178.1833333334,313025.65,573459.6333333333,105442.96666666666
2012-07-01,54415.29999999999,578889.8333333333,166896.78333333333,577201.15,145717.4,164733.84999999995,348556.59999999986,314210.85000000003,574851.6666666666,108016.81666666665
2012-10-01,54359.61666666666,586404.3666666667,170759.2,570954.7833333333,151864.93333333335,165158.38333333333,346456.88333333336,322638.4166666667,598598.7166666668,108504.53333333335
2013-01-01,46743.33333333333,581199.1166666668,149088.9333333333,549754.65,146793.78333333333,163830.25000000003,345689.85000000003,312741.5166666666,577186.3166666667,104937.23333333335
2013-04-01,51598.46666666667,584790.5833333334,162432.23333333334,570651.6499999999,146812.01666666666,165907.38333333336,347381.03333333327,320153.95000000007,579372.4833333334,106642.43333333332
2013-07-01,55701.483333333344,577761.1,165058.94999999998,579197.05,145908.26666666666,164406.26666666666,351201.11666666676,321864.43333333335,575745.7833333332,107382.84999999999
