"","eu_clusted@cluster","eu_clusted@cluster"
"PAHLT",15,15
"PADUR",10,10
"PAACC",3,3
"PAUTI",3,3
"PAMNG",4,4
"PAADM",3,3
"PAMIN",9,9
"PARER",14,14
"PAEDC",3,3
"PAART",5,5
"PAOTH",4,4
"PAFIN",10,10
"PAWHO",10,10
"PAPRO",10,10
"PAGOV",15,15
"PACON",16,16
"RIINF",6,6
"RIAGR",18,18
"RIRET",2,2
"RITRA",8,8
"RINDU",7,7
"RIHLT",5,5
"RIDUR",2,2
"RIACC",6,6
"RIUTI",8,8
"RIMNG",6,6
"RIADM",7,7
"RIMIN",18,18
"RIRER",9,9
"RIEDC",7,7
"RIART",11,11
"RIOTH",7,7
"RIFIN",1,1
"RIWHO",2,2
"RIPRO",2,2
"RIGOV",9,9
"RICON",6,6
"SCINF",1,1
"SCAGR",7,7
"SCRET",3,3
"SCTRA",1,1
"SCNDU",3,3
"SCHLT",3,3
"SCDUR",4,4
"SCACC",5,5
"SCUTI",1,1
"SCMNG",6,6
"SCADM",5,5
"SCMIN",11,11
"SCRER",4,4
"SCEDC",7,7
"SCART",7,7
"SCOTH",1,1
"SCFIN",9,9
"SCWHO",3,3
"SCPRO",9,9
"SCGOV",10,10
"SCCON",9,9
"SDINF",7,7
"SDAGR",1,1
"SDRET",2,2
"SDTRA",7,7
"SDNDU",7,7
"SDHLT",1,1
"SDDUR",2,2
"SDACC",7,7
"SDUTI",8,8
"SDMNG",11,11
"SDADM",8,8
"SDMIN",12,12
"SDRER",1,1
"SDEDC",11,11
"SDART",12,12
"SDOTH",8,8
"SDFIN",5,5
"SDWHO",2,2
"SDPRO",7,7
"SDGOV",1,1
"SDCON",7,7
"TNINF",9,9
"TNAGR",6,6
"TNRET",4,4
"TNTRA",3,3
"TNNDU",4,4
"TNHLT",16,16
"TNDUR",16,16
"TNACC",9,9
"TNUTI",6,6
"TNMNG",1,1
"TNADM",3,3
"TNMIN",7,7
"TNRER",16,16
"TNEDC",2,2
"TNART",1,1
"TNOTH",9,9
"TNFIN",3,3
"TNWHO",4,4
"TNPRO",3,3
"TNGOV",10,10
"TNCON",3,3
"TXINF",15,15
"TXAGR",3,3
"TXRET",14,14
"TXTRA",10,10
"TXNDU",14,14
"TXHLT",14,14
"TXDUR",14,14
"TXACC",10,10
"TXUTI",16,16
"TXMNG",3,3
"TXADM",10,10
"TXMIN",13,13
"TXRER",14,14
"TXEDC",9,9
"TXART",5,5
"TXOTH",10,10
"TXFIN",15,15
"TXWHO",14,14
"TXPRO",14,14
"TXGOV",14,14
"TXCON",15,15
"UTINF",5,5
"UTAGR",8,8
"UTRET",9,9
"UTTRA",1,1
"UTNDU",5,5
"UTHLT",5,5
"UTDUR",9,9
"UTACC",2,2
"UTUTI",7,7
"UTMNG",6,6
"UTADM",1,1
"UTMIN",1,1
"UTRER",3,3
"UTEDC",6,6
"UTART",7,7
"UTOTH",1,1
"UTFIN",9,9
"UTWHO",5,5
"UTPRO",5,5
"UTGOV",4,4
"UTCON",5,5
"VTINF",8,8
"VTAGR",11,11
"VTRET",6,6
"VTTRA",11,11
"VTNDU",8,8
"VTHLT",2,2
"VTDUR",6,6
"VTACC",7,7
"VTUTI",8,8
"VTMNG",12,12
"VTADM",8,8
"VTMIN",12,12
"VTRER",1,1
"VTEDC",8,8
"VTART",11,11
"VTOTH",8,8
"VTFIN",7,7
"VTWHO",7,7
"VTPRO",6,6
"VTGOV",1,1
"VTCON",7,7
"VAINF",4,4
"VAAGR",6,6
"VARET",16,16
"VATRA",3,3
"VANDU",16,16
"VAHLT",16,16
"VADUR",4,4
"VAACC",3,3
"VAUTI",5,5
"VAMNG",3,3
"VAADM",3,3
"VAMIN",2,2
"VARER",15,15
"VAEDC",1,1
"VAART",2,2
"VAOTH",3,3
"VAFIN",4,4
"VAWHO",4,4
"VAPRO",15,15
"VAGOV",14,14
"VACON",4,4
"WAINF",10,10
"WAAGR",9,9
"WARET",16,16
"WATRA",3,3
"WANDU",3,3
"WAHLT",16,16
"WADUR",10,10
"WAACC",3,3
"WAUTI",1,1
"WAMNG",5,5
"WAADM",3,3
"WAMIN",8,8
"WARER",15,15
"WAEDC",2,2
"WAART",2,2
"WAOTH",9,9
"WAFIN",3,3
"WAWHO",16,16
